iter	Passed	Remaining
0	198	496356
1	243	303570
2	287	239493
3	340	212343
4	385	192584
5	430	178750
6	471	167900
7	515	160607
8	557	154367
9	601	149739
10	646	146279
11	688	142822
12	731	139872
13	776	137964
14	822	136268
15	866	134525
16	906	132439
17	951	131258
18	994	129827
19	1034	128244
20	1078	127293
21	1124	126701
22	1168	125795
23	1208	124687
24	1255	124249
25	1299	123637
26	1340	122813
27	1392	122928
28	1415	120585
29	1458	120083
30	1504	119849
31	1546	119272
32	1588	118740
33	1624	117850
34	1653	116466
35	1682	115131
36	1713	114077
37	1742	112863
38	1772	111876
39	1806	111089
40	1835	110064
41	1864	109112
42	1896	108343
43	1925	107501
44	1956	106762
45	1984	105889
46	2017	105284
47	2047	104573
48	2073	103736
49	2103	103050
50	2132	102400
51	2162	101827
52	2190	101136
53	2220	100557
54	2249	100004
55	2275	99320
56	2304	98748
57	2330	98135
58	2360	97642
59	2389	97158
60	2418	96707
61	2445	96173
62	2475	95772
63	2504	95315
64	2531	94820
65	2558	94364
66	2588	93984
67	2620	93738
68	2653	93503
69	2687	93297
70	2718	93015
71	2751	92779
72	2777	92356
73	2807	92035
74	2835	91669
75	2864	91367
76	2893	91064
77	2920	90696
78	2947	90335
79	2973	89953
80	3005	89770
81	3038	89603
82	3065	89278
83	3095	89031
84	3125	88788
85	3153	88529
86	3183	88304
87	3212	88038
88	3240	87786
89	3272	87634
90	3308	87579
91	3339	87404
92	3374	87330
93	3403	87124
94	3434	86951
95	3464	86763
96	3496	86629
97	3524	86395
98	3554	86212
99	3588	86135
100	3623	86069
101	3656	85960
102	3689	85861
103	3726	85846
104	3760	85785
105	3796	85752
106	3832	85718
107	3865	85613
108	3896	85473
109	3930	85389
110	3962	85282
111	3992	85118
112	4024	85021
113	4055	84875
114	4088	84781
115	4118	84645
116	4148	84497
117	4181	84407
118	4209	84227
119	4240	84103
120	4274	84039
121	4303	83886
122	4336	83801
123	4366	83659
124	4400	83603
125	4432	83506
126	4462	83390
127	4498	83357
128	4532	83298
129	4564	83205
130	4599	83184
131	4635	83158
132	4671	83130
133	4710	83171
134	4743	83103
135	4778	83060
136	4813	83020
137	4848	82983
138	4880	82900
139	4916	82878
140	4954	82897
141	4992	82896
142	5032	82949
143	5072	82998
144	5116	83096
145	5153	83090
146	5188	83047
147	5216	82904
148	5245	82762
149	5274	82636
150	5320	82766
151	5352	82677
152	5385	82608
153	5417	82533
154	5446	82406
155	5475	82276
156	5504	82143
157	5534	82038
158	5566	81956
159	5597	81861
160	5628	81775
161	5659	81684
162	5692	81621
163	5724	81534
164	5756	81457
165	5788	81393
166	5822	81337
167	5852	81236
168	5884	81167
169	5917	81103
170	5952	81065
171	5983	80979
172	6013	80882
173	6045	80810
174	6079	80770
175	6110	80683
176	6142	80620
177	6175	80562
178	6204	80456
179	6234	80349
180	6264	80265
181	6298	80213
182	6330	80154
183	6366	80129
184	6398	80072
185	6436	80075
186	6474	80083
187	6511	80074
188	6548	80066
189	6580	80007
190	6610	79913
191	6641	79837
192	6672	79754
193	6704	79689
194	6733	79595
195	6767	79555
196	6800	79497
197	6835	79469
198	6866	79395
199	6896	79311
200	6929	79257
201	6965	79235
202	7000	79209
203	7040	79241
204	7093	79412
205	7130	79401
206	7159	79310
207	7191	79249
208	7220	79150
209	7247	79035
210	7280	78977
211	7308	78877
212	7341	78825
213	7369	78722
214	7402	78668
215	7432	78588
216	7461	78499
217	7489	78397
218	7515	78276
219	7548	78224
220	7578	78153
221	7608	78070
222	7636	77976
223	7665	77887
224	7692	77782
225	7724	77724
226	7765	77756
227	7795	77676
228	7826	77617
229	7857	77547
230	7886	77465
231	7916	77386
232	7943	77282
233	7970	77185
234	7997	77083
235	8030	77038
236	8065	77014
237	8093	76922
238	8125	76866
239	8157	76811
240	8187	76743
241	8215	76658
242	8246	76597
243	8277	76533
244	8311	76495
245	8342	76442
246	8380	76444
247	8409	76363
248	8437	76280
249	8472	76255
250	8503	76195
251	8533	76121
252	8562	76050
253	8594	75999
254	8628	75966
255	8656	75877
256	8687	75823
257	8721	75791
258	8750	75718
259	8755	75433
260	8787	75381
261	8818	75329
262	8849	75267
263	8880	75211
264	8924	75270
265	8955	75216
266	8986	75153
267	9018	75111
268	9052	75074
269	9084	75029
270	9116	74980
271	9144	74902
272	9173	74835
273	9202	74763
274	9233	74708
275	9266	74670
276	9298	74623
277	9330	74577
278	9361	74519
279	9389	74444
280	9419	74385
281	9448	74311
282	9474	74224
283	9506	74176
284	9538	74134
285	9568	74071
286	9602	74043
287	9632	73981
288	9664	73939
289	9692	73866
290	9721	73799
291	9753	73755
292	9782	73683
293	9808	73595
294	9835	73518
295	9867	73473
296	9897	73414
297	9925	73340
298	9957	73299
299	9989	73258
300	10019	73198
301	10051	73156
302	10084	73120
303	10116	73079
304	10147	73030
305	10178	72982
306	10207	72913
307	10243	72904
308	10269	72819
309	10300	72768
310	10328	72700
311	10358	72639
312	10390	72598
313	10419	72540
314	10449	72486
315	10477	72416
316	10508	72367
317	10541	72332
318	10569	72261
319	10600	72216
320	10629	72156
321	10661	72113
322	10692	72067
323	10724	72023
324	10753	71966
325	10786	71931
326	10819	71899
327	10849	71843
328	10880	71800
329	10907	71723
330	10936	71667
331	10968	71622
332	10995	71551
333	11025	71503
334	11058	71470
335	11088	71417
336	11118	71361
337	11148	71311
338	11189	71325
339	11216	71260
340	11246	71208
341	11277	71162
342	11343	71334
343	11377	71309
344	11411	71279
345	11450	71284
346	11487	71278
347	11517	71222
348	11545	71156
349	11577	71117
350	11606	71058
351	11633	70993
352	11661	70928
353	11695	70898
354	11742	70949
355	11770	70884
356	11799	70827
357	11825	70753
358	11855	70700
359	11886	70659
360	11916	70610
361	11945	70552
362	11974	70497
363	12007	70461
364	12034	70396
365	12063	70336
366	12100	70327
367	12131	70281
368	12158	70216
369	12185	70148
370	12216	70104
371	12248	70068
372	12280	70029
373	12310	69978
374	12343	69944
375	12372	69889
376	12403	69848
377	12432	69791
378	12459	69725
379	12488	69674
380	12519	69629
381	12549	69581
382	12577	69523
383	12604	69453
384	12631	69393
385	12662	69349
386	12695	69318
387	12732	69307
388	12764	69268
389	12796	69231
390	12823	69170
391	12857	69140
392	12889	69106
393	12921	69065
394	12955	69040
395	12982	68976
396	13016	68952
397	13049	68918
398	13080	68875
399	13109	68824
400	13138	68773
401	13165	68708
402	13194	68657
403	13224	68609
404	13253	68558
405	13284	68518
406	13314	68470
407	13345	68430
408	13380	68408
409	13409	68353
410	13440	68312
411	13470	68269
412	13499	68218
413	13532	68185
414	13562	68141
415	13592	68093
416	13624	68058
417	13655	68016
418	13691	68001
419	13724	67968
420	13757	67937
421	13784	67877
422	13817	67843
423	13847	67799
424	13874	67741
425	13904	67693
426	13939	67674
427	13972	67641
428	14002	67595
429	14037	67575
430	14069	67540
431	14096	67478
432	14124	67426
433	14155	67384
434	14186	67346
435	14214	67292
436	14248	67264
437	14280	67229
438	14313	67199
439	14341	67143
440	14372	67102
441	14399	67046
442	14425	66983
443	14459	66954
444	14491	66919
445	14520	66870
446	14550	66826
447	14584	66801
448	14616	66768
449	14656	66769
450	14681	66703
451	14711	66656
452	14743	66621
453	14772	66572
454	14803	66533
455	14833	66489
456	14865	66454
457	14898	66423
458	14929	66385
459	14964	66364
460	14992	66312
461	15025	66281
462	15056	66244
463	15088	66207
464	15116	66157
465	15143	66097
466	15172	66048
467	15200	65998
468	15229	65950
469	15259	65907
470	15298	65902
471	15327	65857
472	15361	65829
473	15387	65771
474	15415	65720
475	15449	65694
476	15479	65649
477	15509	65607
478	15537	65556
479	15565	65503
480	15597	65471
481	15629	65434
482	15654	65374
483	15684	65329
484	15716	65294
485	15748	65260
486	15775	65206
487	15802	65154
488	15831	65107
489	15859	65056
490	15891	65021
491	15923	64988
492	15956	64956
493	15984	64908
494	16015	64869
495	16049	64843
496	16085	64826
497	16114	64780
498	16147	64752
499	16180	64720
500	16209	64677
501	16239	64635
502	16269	64591
503	16299	64549
504	16327	64501
505	16356	64456
506	16385	64412
507	16415	64369
508	16445	64327
509	16474	64281
510	16501	64229
511	16531	64188
512	16561	64147
513	16592	64111
514	16620	64062
515	16647	64009
516	16699	64050
517	16733	64024
518	16760	63973
519	16789	63928
520	16815	63873
521	16846	63834
522	16876	63796
523	16907	63757
524	16937	63716
525	16971	63690
526	16999	63644
527	17033	63617
528	17061	63570
529	17088	63518
530	17116	63471
531	17147	63432
532	17177	63391
533	17213	63375
534	17242	63329
535	17271	63285
536	17296	63225
537	17323	63175
538	17349	63121
539	17377	63072
540	17405	63026
541	17431	62972
542	17457	62919
543	17487	62878
544	17518	62843
545	17548	62801
546	17579	62763
547	17606	62714
548	17634	62667
549	17663	62624
550	17692	62581
551	17721	62538
552	17750	62497
553	17777	62444
554	17808	62410
555	17843	62387
556	17872	62345
557	17899	62295
558	17926	62244
559	17959	62216
560	17984	62160
561	18012	62112
562	18041	62070
563	18090	62096
564	18120	62059
565	18155	62035
566	18186	62000
567	18215	61958
568	18243	61913
569	18271	61866
570	18302	61832
571	18329	61781
572	18358	61740
573	18387	61697
574	18415	61651
575	18442	61603
576	18472	61565
577	18506	61540
578	18539	61510
579	18572	61482
580	18600	61436
581	18630	61398
582	18674	61406
583	18706	61373
584	18739	61343
585	18767	61299
586	18797	61260
587	18826	61218
588	18869	61222
589	18900	61185
590	18930	61149
591	18964	61120
592	18992	61077
593	19022	61037
594	19054	61007
595	19084	60969
596	19114	60930
597	19143	60888
598	19176	60860
599	19204	60814
600	19239	60791
601	19275	60772
602	19305	60733
603	19336	60697
604	19367	60662
605	19398	60628
606	19430	60595
607	19461	60561
608	19490	60520
609	19518	60474
610	19548	60436
611	19577	60395
612	19613	60377
613	19643	60338
614	19674	60303
615	19704	60264
616	19734	60228
617	19765	60191
618	19793	60146
619	19820	60101
620	19848	60058
621	19881	60026
622	19918	60010
623	19947	59969
624	19974	59922
625	20006	59893
626	20036	59855
627	20067	59819
628	20096	59779
629	20126	59740
630	20153	59695
631	20182	59653
632	20210	59610
633	20247	59591
634	20274	59545
635	20303	59506
636	20335	59474
637	20363	59430
638	20391	59388
639	20422	59352
640	20451	59312
641	20479	59268
642	20508	59230
643	20538	59192
644	20565	59145
645	20596	59110
646	20623	59066
647	20654	59031
648	20686	58998
649	20713	58952
650	20737	58899
651	20765	58856
652	20789	58802
653	20819	58766
654	20852	58737
655	20877	58687
656	20907	58648
657	20934	58602
658	20963	58564
659	20994	58529
660	21027	58501
661	21057	58463
662	21091	58437
663	21117	58390
664	21144	58346
665	21177	58316
666	21205	58275
667	21236	58240
668	21265	58200
669	21295	58163
670	21322	58119
671	21355	58092
672	21385	58054
673	21416	58020
674	21444	57980
675	21474	57943
676	21507	57914
677	21534	57871
678	21562	57828
679	21594	57797
680	21628	57770
681	21658	57736
682	21686	57691
683	21722	57672
684	21750	57629
685	21780	57594
686	21808	57552
687	21835	57507
688	21864	57470
689	21894	57433
690	21926	57401
691	21953	57357
692	21985	57326
693	22016	57294
694	22046	57256
695	22074	57215
696	22102	57174
697	22132	57137
698	22159	57094
699	22187	57054
700	22219	57022
701	22246	56977
702	22276	56942
703	22304	56902
704	22336	56870
705	22386	56886
706	22418	56854
707	22447	56815
708	22475	56774
709	22507	56745
710	22539	56714
711	22568	56675
712	22595	56630
713	22624	56594
714	22654	56556
715	22681	56513
716	22712	56480
717	22742	56444
718	22774	56414
719	22806	56382
720	22835	56343
721	22866	56311
722	22898	56279
723	22925	56237
724	22955	56200
725	22990	56177
726	23019	56139
727	23049	56103
728	23078	56064
729	23104	56020
730	23131	55976
731	23160	55938
732	23189	55901
733	23219	55865
734	23245	55821
735	23276	55786
736	23306	55752
737	23336	55716
738	23367	55682
739	23393	55639
740	23424	55605
741	23450	55561
742	23478	55519
743	23512	55494
744	23545	55465
745	23575	55429
746	23605	55395
747	23632	55352
748	23663	55319
749	23693	55284
750	23724	55250
751	23753	55214
752	23781	55174
753	23815	55149
754	23843	55109
755	23875	55077
756	23902	55036
757	23935	55007
758	23967	54977
759	23995	54936
760	24021	54893
761	24050	54856
762	24084	54829
763	24117	54800
764	24145	54760
765	24174	54724
766	24202	54685
767	24232	54650
768	24261	54611
769	24291	54576
770	24318	54534
771	24344	54490
772	24371	54449
773	24399	54410
774	24428	54374
775	24466	54354
776	24491	54310
777	24521	54275
778	24548	54232
779	24577	54196
780	24607	54162
781	24636	54125
782	24662	54080
783	24691	54043
784	24720	54006
785	24750	53971
786	24779	53934
787	24804	53890
788	24835	53856
789	24864	53820
790	24895	53788
791	24923	53749
792	24949	53706
793	24978	53669
794	25011	53641
795	25039	53602
796	25069	53567
797	25109	53553
798	25141	53523
799	25174	53495
800	25205	53463
801	25233	53425
802	25264	53392
803	25295	53360
804	25327	53328
805	25355	53291
806	25387	53259
807	25416	53223
808	25446	53189
809	25474	53151
810	25503	53113
811	25533	53079
812	25563	53045
813	25593	53011
814	25620	52970
815	25651	52938
816	25680	52901
817	25713	52872
818	25744	52839
819	25781	52820
820	25811	52785
821	25838	52745
822	25865	52705
823	25893	52666
824	25922	52630
825	25950	52591
826	25982	52561
827	26010	52523
828	26043	52494
829	26077	52469
830	26103	52426
831	26133	52392
832	26164	52360
833	26193	52323
834	26223	52289
835	26249	52248
836	26278	52210
837	26307	52175
838	26338	52143
839	26370	52113
840	26400	52079
841	26428	52041
842	26455	52001
843	26483	51963
844	26512	51926
845	26541	51890
846	26568	51851
847	26599	51818
848	26628	51783
849	26663	51757
850	26703	51743
851	26730	51703
852	26758	51667
853	26790	51636
854	26824	51610
855	26850	51568
856	26882	51538
857	26914	51507
858	26943	51471
